"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 09 09:56:35 GMT 2023","Sat Sep 09 09:56:35 GMT 2023","0","","","","Sunrise.Tests.TagProcess","Sunrise.Tests.TagProcess.TagsProcessTest1girlTrim","Sunrise.Tests.TagProcess.TagsProcessTest1girlTrim",""
"passed","Sat Sep 09 09:56:38 GMT 2023","Sat Sep 09 09:56:38 GMT 2023","1","","","","Sunrise.Tests.CheckTypeTests","Test to check example gif file","Test to check example gif file",""
"passed","Sat Sep 09 09:56:35 GMT 2023","Sat Sep 09 09:56:35 GMT 2023","30","","","","Sunrise.Tests.TagProcess","Sunrise.Tests.TagProcess.TagsProcessTest1girlRemoveSymbols","Sunrise.Tests.TagProcess.TagsProcessTest1girlRemoveSymbols",""
"passed","Sat Sep 09 09:56:38 GMT 2023","Sat Sep 09 09:56:38 GMT 2023","7","","","","Sunrise.Tests.CheckTypeTests","Test to check example webp file","Test to check example webp file",""
"passed","Sat Sep 09 09:56:35 GMT 2023","Sat Sep 09 09:56:38 GMT 2023","3422","","","","Sunrise.Tests.UnitTest1","Sunrise.Tests.UnitTest1.DbTestConnection","Sunrise.Tests.UnitTest1.DbTestConnection",""
"passed","Sat Sep 09 09:56:39 GMT 2023","Sat Sep 09 09:56:39 GMT 2023","0","","","","Sunrise.Tests.GetSha1Tests","Sunrise.Tests.GetSha1Tests.Sha1HashBytes_0x12","Sunrise.Tests.GetSha1Tests.Sha1HashBytes_0x12",""
"passed","Sat Sep 09 09:56:38 GMT 2023","Sat Sep 09 09:56:38 GMT 2023","1","","","","Sunrise.Tests.CheckTypeTests","Test to check example mp4 file","Test to check example mp4 file",""
"passed","Sat Sep 09 09:56:35 GMT 2023","Sat Sep 09 09:56:35 GMT 2023","0","","","","Sunrise.Tests.TagProcess","Sunrise.Tests.TagProcess.TagsProcessTest1girl","Sunrise.Tests.TagProcess.TagsProcessTest1girl",""
"passed","Sat Sep 09 09:56:38 GMT 2023","Sat Sep 09 09:56:39 GMT 2023","987","","","","Sunrise.Tests.FileConvert","Test to convert image","Test to convert image",""
"passed","Sat Sep 09 09:56:38 GMT 2023","Sat Sep 09 09:56:38 GMT 2023","1","","","","Sunrise.Tests.CheckTypeTests","Test to check example png file","Test to check example png file",""
"passed","Sat Sep 09 09:56:39 GMT 2023","Sat Sep 09 09:56:42 GMT 2023","2872","","","","Sunrise.Tests.FileConvert","Test to convert video","Test to convert video",""
"passed","Sat Sep 09 09:56:39 GMT 2023","Sat Sep 09 09:56:39 GMT 2023","0","","","","Sunrise.Tests.GetSha1Tests","Sunrise.Tests.GetSha1Tests.Sha1HashBytes_0x88996584ff","Sunrise.Tests.GetSha1Tests.Sha1HashBytes_0x88996584ff",""
"passed","Sat Sep 09 09:56:38 GMT 2023","Sat Sep 09 09:56:38 GMT 2023","1","","","","Sunrise.Tests.CheckTypeTests","Test to check example avi file","Test to check example avi file",""
"passed","Sat Sep 09 09:56:39 GMT 2023","Sat Sep 09 09:56:39 GMT 2023","1","","","","Sunrise.Tests.GetSha512Tests","Sunrise.Tests.GetSha512Tests.Sha512HashString_1girl","Sunrise.Tests.GetSha512Tests.Sha512HashString_1girl",""
"passed","Sat Sep 09 09:56:39 GMT 2023","Sat Sep 09 09:56:39 GMT 2023","0","","","","Sunrise.Tests.GetSha512Tests","Sunrise.Tests.GetSha512Tests.Sha512HashString_12345678","Sunrise.Tests.GetSha512Tests.Sha512HashString_12345678",""
"passed","Sat Sep 09 09:56:35 GMT 2023","Sat Sep 09 09:56:39 GMT 2023","4327","","","","Sunrise.Tests.StatisticTests","Sunrise.Tests.StatisticTests.CheckController","Sunrise.Tests.StatisticTests.CheckController",""
"passed","Sat Sep 09 09:56:38 GMT 2023","Sat Sep 09 09:56:38 GMT 2023","0","","","","Sunrise.Tests.CheckTypeTests","Test to check example jpg file","Test to check example jpg file",""
