"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 27 10:41:49 GMT 2023","Sun Aug 27 10:41:49 GMT 2023","0","","","","Sunrise.Tests.GetSha1Tests","Sunrise.Tests.GetSha1Tests.Sha1HashBytes_0x12","Sunrise.Tests.GetSha1Tests.Sha1HashBytes_0x12",""
"passed","Sun Aug 27 10:41:49 GMT 2023","Sun Aug 27 10:41:49 GMT 2023","27","","","","Sunrise.Tests.GetSha1Tests","Sunrise.Tests.GetSha1Tests.Sha1HashBytes_0x88996584ff","Sunrise.Tests.GetSha1Tests.Sha1HashBytes_0x88996584ff",""
"passed","Sun Aug 27 10:41:49 GMT 2023","Sun Aug 27 10:41:49 GMT 2023","26","","","","Sunrise.Tests.CheckTypeTests","Test to check example webp file","Test to check example webp file",""
"passed","Sun Aug 27 10:41:49 GMT 2023","Sun Aug 27 10:41:49 GMT 2023","1","","","","Sunrise.Tests.TagProcess","Sunrise.Tests.TagProcess.TagsProcessTest1girlRemoveSymbols","Sunrise.Tests.TagProcess.TagsProcessTest1girlRemoveSymbols",""
"passed","Sun Aug 27 10:41:49 GMT 2023","Sun Aug 27 10:41:49 GMT 2023","0","","","","Sunrise.Tests.CheckTypeTests","Test to check example jpg file","Test to check example jpg file",""
"passed","Sun Aug 27 10:41:49 GMT 2023","Sun Aug 27 10:41:49 GMT 2023","1","","","","Sunrise.Tests.TagProcess","Sunrise.Tests.TagProcess.TagsProcessTest1girl","Sunrise.Tests.TagProcess.TagsProcessTest1girl",""
"passed","Sun Aug 27 10:41:49 GMT 2023","Sun Aug 27 10:41:49 GMT 2023","0","","","","Sunrise.Tests.UnitTest1","Sunrise.Tests.UnitTest1.Test1","Sunrise.Tests.UnitTest1.Test1",""
"passed","Sun Aug 27 10:41:49 GMT 2023","Sun Aug 27 10:41:49 GMT 2023","0","","","","Sunrise.Tests.TagProcess","Sunrise.Tests.TagProcess.TagsProcessTest1girlTrim","Sunrise.Tests.TagProcess.TagsProcessTest1girlTrim",""
"passed","Sun Aug 27 10:41:49 GMT 2023","Sun Aug 27 10:41:49 GMT 2023","0","","","","Sunrise.Tests.CheckTypeTests","Test to check example avi file","Test to check example avi file",""
"passed","Sun Aug 27 10:41:49 GMT 2023","Sun Aug 27 10:41:49 GMT 2023","0","","","","Sunrise.Tests.CheckTypeTests","Test to check example gif file","Test to check example gif file",""
"passed","Sun Aug 27 10:41:49 GMT 2023","Sun Aug 27 10:41:49 GMT 2023","0","","","","Sunrise.Tests.GetSha512Tests","Sunrise.Tests.GetSha512Tests.Sha512HashString_12345678","Sunrise.Tests.GetSha512Tests.Sha512HashString_12345678",""
"passed","Sun Aug 27 10:41:49 GMT 2023","Sun Aug 27 10:41:49 GMT 2023","0","","","","Sunrise.Tests.CheckTypeTests","Test to check example png file","Test to check example png file",""
"passed","Sun Aug 27 10:41:50 GMT 2023","Sun Aug 27 10:41:53 GMT 2023","3126","","","","Sunrise.Tests.FileConvert","Test to convert video","Test to convert video",""
"passed","Sun Aug 27 10:41:49 GMT 2023","Sun Aug 27 10:41:49 GMT 2023","0","","","","Sunrise.Tests.GetSha512Tests","Sunrise.Tests.GetSha512Tests.Sha512HashString_1girl","Sunrise.Tests.GetSha512Tests.Sha512HashString_1girl",""
"passed","Sun Aug 27 10:41:49 GMT 2023","Sun Aug 27 10:41:50 GMT 2023","358","","","","Sunrise.Tests.FileConvert","Test to convert image","Test to convert image",""
"passed","Sun Aug 27 10:41:49 GMT 2023","Sun Aug 27 10:41:49 GMT 2023","1","","","","Sunrise.Tests.CheckTypeTests","Test to check example mp4 file","Test to check example mp4 file",""
