"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 28 17:35:11 GMT 2023","Mon Aug 28 17:35:11 GMT 2023","1","","","","Sunrise.Tests.GetSha1Tests","Sunrise.Tests.GetSha1Tests.Sha1HashBytes_0x88996584ff","Sunrise.Tests.GetSha1Tests.Sha1HashBytes_0x88996584ff",""
"passed","Mon Aug 28 17:35:11 GMT 2023","Mon Aug 28 17:35:11 GMT 2023","3","","","","Sunrise.Tests.CheckTypeTests","Test to check example webp file","Test to check example webp file",""
"passed","Mon Aug 28 17:35:11 GMT 2023","Mon Aug 28 17:35:11 GMT 2023","0","","","","Sunrise.Tests.CheckTypeTests","Test to check example gif file","Test to check example gif file",""
"passed","Mon Aug 28 17:35:15 GMT 2023","Mon Aug 28 17:35:19 GMT 2023","3213","","","","Sunrise.Tests.FileConvert","Test to convert video","Test to convert video",""
"passed","Mon Aug 28 17:35:11 GMT 2023","Mon Aug 28 17:35:11 GMT 2023","0","","","","Sunrise.Tests.CheckTypeTests","Test to check example png file","Test to check example png file",""
"passed","Mon Aug 28 17:35:11 GMT 2023","Mon Aug 28 17:35:14 GMT 2023","3662","","","","Sunrise.Tests.StatisticTests","Sunrise.Tests.StatisticTests.CheckController","Sunrise.Tests.StatisticTests.CheckController",""
"passed","Mon Aug 28 17:35:11 GMT 2023","Mon Aug 28 17:35:11 GMT 2023","0","","","","Sunrise.Tests.GetSha1Tests","Sunrise.Tests.GetSha1Tests.Sha1HashBytes_0x12","Sunrise.Tests.GetSha1Tests.Sha1HashBytes_0x12",""
"passed","Mon Aug 28 17:35:11 GMT 2023","Mon Aug 28 17:35:11 GMT 2023","1","","","","Sunrise.Tests.CheckTypeTests","Test to check example mp4 file","Test to check example mp4 file",""
"passed","Mon Aug 28 17:35:11 GMT 2023","Mon Aug 28 17:35:11 GMT 2023","0","","","","Sunrise.Tests.TagProcess","Sunrise.Tests.TagProcess.TagsProcessTest1girlTrim","Sunrise.Tests.TagProcess.TagsProcessTest1girlTrim",""
"passed","Mon Aug 28 17:35:11 GMT 2023","Mon Aug 28 17:35:11 GMT 2023","1","","","","Sunrise.Tests.CheckTypeTests","Test to check example jpg file","Test to check example jpg file",""
"passed","Mon Aug 28 17:35:11 GMT 2023","Mon Aug 28 17:35:11 GMT 2023","0","","","","Sunrise.Tests.GetSha512Tests","Sunrise.Tests.GetSha512Tests.Sha512HashString_1girl","Sunrise.Tests.GetSha512Tests.Sha512HashString_1girl",""
"passed","Mon Aug 28 17:35:11 GMT 2023","Mon Aug 28 17:35:11 GMT 2023","26","","","","Sunrise.Tests.TagProcess","Sunrise.Tests.TagProcess.TagsProcessTest1girlRemoveSymbols","Sunrise.Tests.TagProcess.TagsProcessTest1girlRemoveSymbols",""
"passed","Mon Aug 28 17:35:11 GMT 2023","Mon Aug 28 17:35:11 GMT 2023","0","","","","Sunrise.Tests.TagProcess","Sunrise.Tests.TagProcess.TagsProcessTest1girl","Sunrise.Tests.TagProcess.TagsProcessTest1girl",""
"passed","Mon Aug 28 17:35:11 GMT 2023","Mon Aug 28 17:35:11 GMT 2023","0","","","","Sunrise.Tests.GetSha512Tests","Sunrise.Tests.GetSha512Tests.Sha512HashString_12345678","Sunrise.Tests.GetSha512Tests.Sha512HashString_12345678",""
"passed","Mon Aug 28 17:35:11 GMT 2023","Mon Aug 28 17:35:15 GMT 2023","4703","","","","Sunrise.Tests.FileConvert","Test to convert image","Test to convert image",""
"passed","Mon Aug 28 17:35:11 GMT 2023","Mon Aug 28 17:35:11 GMT 2023","1","","","","Sunrise.Tests.CheckTypeTests","Test to check example avi file","Test to check example avi file",""
"passed","Mon Aug 28 17:35:14 GMT 2023","Mon Aug 28 17:35:15 GMT 2023","963","","","","Sunrise.Tests.UnitTest1","Sunrise.Tests.UnitTest1.DbTestConnection","Sunrise.Tests.UnitTest1.DbTestConnection",""
